company_id,technology_id,technology_version,technology_evidence,confidence_score,source
C00231,T01,2022,Technical page,0.72,Industry Directory
C00232,T01,15,Technical page,0.96,Job Posting
C00233,T03,8.x,Technology directory,0.73,Company Website
C00234,T02,8.x,Public case study,0.69,Technology Directory
C00235,T01,8.x,Technical page,0.95,Company Website
C00236,T02,12c,Technology directory,0.89,Industry Directory
C00237,T01,16,Technology directory,0.87,Industry Directory
C00238,T03,19c,Technical page,0.62,Public Case Study
C00239,T04,19c,Public case study,0.65,Industry Directory
C00240,T03,HANA 2.0,Technical page,0.85,Company Website
C00241,T01,2019,Public case study,0.68,Public Case Study
C00242,T05,2022,Technology directory,0.69,Technology Directory
C00243,T01,19c,Public case study,0.9,Job Posting
C00244,T04,19c,Technology directory,0.71,Job Posting
C00245,T02,15,Public case study,0.63,Technology Directory
C00246,T04,2019,Technology directory,0.61,Public Case Study
C00247,T01,12c,Technical page,0.77,Company Website
C00248,T01,16,Technical page,0.84,Public Case Study
C00249,T03,8.x,Technical page,0.94,Industry Directory
C00250,T01,15,Technology directory,0.64,Company Website
C00251,T01,8.x,Public case study,0.68,Industry Directory
C00252,T04,2022,Job posting,0.81,Public Case Study
C00253,T05,15,Job posting,0.74,Job Posting
C00254,T01,16,Public case study,0.79,Public Case Study
C00255,T05,12c,Technology directory,0.96,Public Case Study
C00256,T04,15,Technical page,0.81,Public Case Study
C00257,T05,HANA 2.0,Public case study,0.76,Company Website
C00258,T04,2022,Technology directory,0.99,Company Website
C00259,T04,12c,Public case study,0.63,Public Case Study
C00260,T03,12c,Technology directory,0.96,Job Posting
C00261,T03,12c,Public case study,0.8,Job Posting
C00262,T05,11g,Public case study,0.8,Technology Directory
C00263,T01,15,Technology directory,0.96,Public Case Study
C00264,T02,HANA 2.0,Public case study,0.8,Company Website
C00265,T01,2019,Job posting,0.77,Industry Directory
C00266,T06,2022,Technical page,0.71,Technology Directory
C00267,T02,15,Job posting,0.86,Company Website
C00268,T04,8.x,Public case study,0.82,Company Website
C00269,T05,2019,Job posting,0.68,Industry Directory
C00270,T06,2022,Public case study,0.88,Company Website
C00271,T01,19c,Technical page,0.85,Technology Directory
C00272,T04,11g,Job posting,0.75,Public Case Study
C00273,T05,2022,Job posting,0.6,Technology Directory
C00274,T01,16,Public case study,0.77,Job Posting
C00275,T04,11g,Job posting,0.6,Company Website
C00276,T02,12c,Technology directory,0.63,Public Case Study
C00277,T03,19c,Technology directory,0.77,Technology Directory
C00278,T03,16,Public case study,0.63,Company Website
C00279,T01,2019,Job posting,0.71,Company Website
C00280,T01,2019,Technology directory,0.86,Technology Directory
C00281,T01,2022,Public case study,0.72,Company Website
C00282,T01,19c,Technical page,0.99,Job Posting
C00283,T03,15,Job posting,0.96,Company Website
C00284,T02,11g,Public case study,0.83,Public Case Study
C00285,T01,12c,Technology directory,0.98,Public Case Study
C00286,T04,16,Job posting,0.94,Public Case Study
C00287,T04,2022,Job posting,0.72,Company Website
C00288,T03,12c,Technical page,0.89,Job Posting
C00289,T06,8.x,Public case study,0.65,Job Posting
C00290,T02,11g,Technical page,0.87,Public Case Study
C00291,T05,15,Technical page,0.79,Industry Directory
C00292,T01,15,Technical page,0.61,Job Posting
C00293,T04,19c,Job posting,0.71,Public Case Study
C00294,T06,8.x,Job posting,0.97,Technology Directory
C00295,T05,19c,Job posting,0.72,Industry Directory
C00296,T03,8.x,Public case study,0.67,Company Website
C00297,T03,19c,Technology directory,0.67,Industry Directory
C00298,T02,19c,Technical page,0.79,Technology Directory
C00299,T04,8.x,Job posting,0.93,Job Posting
C00300,T04,16,Technical page,0.9,Company Website
C00301,T06,15,Technology directory,0.77,Industry Directory
C00302,T03,19c,Job posting,0.68,Industry Directory
C00303,T01,HANA 2.0,Technical page,0.62,Company Website
C00304,T03,12c,Public case study,0.78,Technology Directory
C00305,T01,HANA 2.0,Technical page,0.92,Public Case Study
C00306,T01,19c,Technical page,0.88,Technology Directory
C00307,T02,2019,Technical page,0.76,Company Website
C00308,T04,12c,Technical page,0.83,Job Posting
C00309,T01,15,Public case study,0.77,Job Posting
C00310,T01,19c,Public case study,0.83,Job Posting
C00311,T01,16,Job posting,0.8,Industry Directory
C00312,T05,11g,Job posting,0.87,Job Posting
C00313,T04,2019,Technical page,0.8,Public Case Study
C00314,T01,12c,Technology directory,0.97,Industry Directory
C00315,T01,HANA 2.0,Job posting,0.77,Public Case Study
C00316,T03,8.x,Job posting,0.61,Public Case Study
C00317,T01,15,Public case study,0.69,Company Website
C00318,T03,16,Technical page,0.8,Company Website
C00319,T02,2019,Job posting,0.81,Public Case Study
C00320,T06,11g,Job posting,0.82,Public Case Study
C00321,T01,12c,Public case study,0.88,Public Case Study
C00322,T04,12c,Public case study,0.71,Technology Directory
C00323,T01,HANA 2.0,Public case study,0.86,Technology Directory
C00324,T06,HANA 2.0,Technical page,0.87,Company Website
C00325,T06,2019,Public case study,0.76,Job Posting
C00326,T04,HANA 2.0,Technology directory,0.76,Technology Directory
C00327,T02,19c,Technical page,0.67,Company Website
C00328,T01,15,Technical page,0.76,Company Website
C00329,T05,8.x,Job posting,0.91,Company Website
C00330,T04,19c,Public case study,0.95,Job Posting
C00331,T01,19c,Job posting,0.83,Industry Directory
C00332,T02,8.x,Job posting,0.72,Public Case Study
C00333,T02,8.x,Public case study,0.87,Industry Directory
C00334,T05,12c,Job posting,0.89,Job Posting
C00335,T04,8.x,Technology directory,0.73,Technology Directory
C00336,T03,12c,Technical page,0.92,Industry Directory
C00337,T03,HANA 2.0,Technical page,0.63,Job Posting
C00338,T01,8.x,Public case study,0.6,Public Case Study
C00339,T02,11g,Public case study,0.65,Public Case Study
C00340,T01,2022,Technical page,0.66,Industry Directory
C00341,T04,16,Technology directory,0.94,Industry Directory
C00342,T02,8.x,Technology directory,0.77,Public Case Study
C00343,T02,16,Job posting,0.71,Technology Directory
C00344,T01,2022,Public case study,0.77,Industry Directory
C00345,T01,15,Technical page,0.75,Public Case Study
C00346,T03,19c,Technology directory,0.72,Job Posting
C00347,T01,11g,Technical page,0.65,Public Case Study
C00348,T01,8.x,Technical page,0.86,Technology Directory
C00349,T04,HANA 2.0,Public case study,0.65,Job Posting
C00350,T02,16,Technology directory,0.9,Technology Directory
C00351,T02,16,Job posting,0.68,Public Case Study
C00352,T02,16,Public case study,0.89,Industry Directory
C00353,T05,8.x,Technical page,0.91,Technology Directory
C00354,T02,19c,Public case study,0.65,Company Website
C00355,T04,HANA 2.0,Public case study,0.63,Industry Directory
C00356,T06,2022,Technology directory,0.97,Technology Directory
C00357,T04,19c,Technology directory,0.78,Job Posting
C00358,T02,19c,Public case study,0.85,Public Case Study
C00359,T04,16,Public case study,0.61,Job Posting
C00360,T02,11g,Technology directory,0.71,Job Posting
C00361,T02,11g,Job posting,0.8,Industry Directory
C00362,T03,15,Public case study,0.95,Industry Directory
C00363,T02,11g,Technology directory,0.71,Technology Directory
C00364,T01,12c,Job posting,0.9,Job Posting
C00365,T02,HANA 2.0,Technology directory,0.86,Industry Directory
C00366,T01,8.x,Public case study,0.64,Company Website
C00367,T02,15,Technical page,0.71,Public Case Study
C00368,T03,2019,Technical page,0.69,Technology Directory
C00369,T06,11g,Technical page,0.77,Industry Directory
C00370,T01,12c,Technology directory,0.85,Technology Directory
C00371,T03,15,Technology directory,0.77,Industry Directory
C00372,T02,11g,Technology directory,0.7,Company Website
C00373,T01,2022,Public case study,0.87,Public Case Study
C00374,T01,8.x,Job posting,0.83,Company Website
C00375,T01,8.x,Technology directory,0.8,Public Case Study
C00376,T01,HANA 2.0,Job posting,0.82,Company Website
C00377,T01,2022,Job posting,0.69,Industry Directory
C00378,T02,2022,Job posting,0.87,Public Case Study
C00379,T03,8.x,Technology directory,0.75,Company Website
C00380,T01,8.x,Technical page,0.74,Industry Directory
C00381,T01,15,Job posting,0.66,Job Posting
C00382,T01,11g,Job posting,0.83,Technology Directory
C00383,T03,19c,Technical page,0.84,Company Website
C00384,T02,2022,Public case study,0.73,Company Website
C00385,T03,2022,Technology directory,0.94,Job Posting
C00386,T01,11g,Public case study,0.93,Technology Directory
C00387,T01,16,Public case study,0.64,Technology Directory
C00388,T06,2019,Technology directory,0.87,Industry Directory
C00389,T01,19c,Technology directory,0.75,Company Website
C00390,T01,15,Technical page,0.99,Public Case Study
C00391,T01,HANA 2.0,Technology directory,0.69,Company Website
C00392,T06,8.x,Public case study,0.71,Job Posting
C00393,T03,19c,Technology directory,0.77,Company Website
C00394,T03,19c,Job posting,0.7,Company Website
C00395,T06,2022,Job posting,0.87,Technology Directory
C00396,T01,11g,Technology directory,0.79,Industry Directory
C00397,T06,2019,Public case study,0.69,Public Case Study
C00398,T01,11g,Job posting,0.8,Industry Directory
C00399,T03,11g,Technology directory,0.95,Technology Directory
C00400,T02,8.x,Job posting,0.91,Company Website
C00401,T02,15,Public case study,0.79,Job Posting
C00402,T06,16,Job posting,0.71,Industry Directory
C00403,T01,11g,Job posting,0.67,Company Website
C00404,T06,19c,Technology directory,0.94,Company Website
C00405,T02,8.x,Technology directory,0.88,Industry Directory
C00406,T03,2022,Job posting,0.82,Company Website
C00407,T06,HANA 2.0,Job posting,0.94,Industry Directory
C00408,T01,15,Public case study,0.65,Public Case Study
C00409,T06,2019,Job posting,0.87,Public Case Study
C00410,T03,11g,Public case study,0.68,Technology Directory
C00411,T04,11g,Technology directory,0.65,Company Website
C00412,T01,12c,Technology directory,0.78,Technology Directory
C00413,T03,2022,Job posting,0.75,Industry Directory
C00414,T04,19c,Job posting,0.97,Industry Directory
C00415,T02,19c,Public case study,0.73,Technology Directory
C00416,T01,15,Job posting,0.92,Industry Directory
C00417,T01,16,Public case study,0.89,Public Case Study
C00418,T05,8.x,Technical page,0.86,Company Website
C00419,T01,16,Public case study,0.96,Public Case Study
C00420,T04,15,Job posting,0.76,Public Case Study
C00421,T06,15,Technology directory,0.75,Technology Directory
C00422,T01,16,Public case study,0.66,Public Case Study
C00423,T01,12c,Job posting,0.71,Industry Directory
C00424,T04,15,Technical page,0.94,Technology Directory
C00425,T01,HANA 2.0,Job posting,0.79,Job Posting
C00426,T03,HANA 2.0,Technical page,0.73,Industry Directory
C00427,T04,2022,Technical page,0.68,Industry Directory
C00428,T03,15,Job posting,0.79,Public Case Study
C00429,T02,16,Public case study,0.88,Public Case Study
C00430,T04,16,Public case study,0.71,Company Website
C00431,T03,HANA 2.0,Job posting,0.9,Technology Directory
C00432,T01,16,Job posting,0.85,Company Website
C00433,T03,8.x,Job posting,0.91,Technology Directory
C00434,T05,15,Public case study,0.7,Industry Directory
C00435,T04,8.x,Technical page,0.85,Job Posting
C00436,T02,16,Job posting,0.66,Industry Directory
C00437,T02,16,Job posting,0.74,Company Website
C00438,T01,HANA 2.0,Technology directory,0.88,Company Website
C00439,T01,2022,Technical page,0.85,Industry Directory
C00440,T01,2019,Public case study,0.67,Company Website
C00441,T06,12c,Technical page,0.93,Public Case Study
C00442,T01,2022,Job posting,0.62,Public Case Study
C00443,T05,2022,Technical page,0.83,Job Posting
C00444,T01,2019,Job posting,0.98,Company Website
C00445,T01,15,Public case study,0.81,Job Posting
C00446,T02,16,Technical page,0.91,Company Website
C00447,T02,12c,Technical page,0.83,Public Case Study
C00448,T04,8.x,Job posting,0.91,Industry Directory
C00449,T06,15,Technology directory,0.86,Industry Directory
C00450,T05,16,Job posting,0.87,Industry Directory
C00451,T01,16,Public case study,0.69,Public Case Study
C00452,T04,16,Technology directory,0.89,Industry Directory
C00453,T01,16,Public case study,0.69,Public Case Study
C00454,T05,HANA 2.0,Public case study,0.98,Public Case Study
C00455,T03,2022,Technology directory,0.69,Industry Directory
C00456,T02,19c,Job posting,0.69,Job Posting
C00457,T01,2022,Technology directory,0.93,Technology Directory
C00458,T01,15,Public case study,0.69,Industry Directory
C00459,T01,11g,Technical page,0.74,Job Posting
C00460,T05,15,Technical page,0.88,Job Posting
C00461,T04,2019,Public case study,0.66,Company Website
C00462,T06,HANA 2.0,Technology directory,0.66,Job Posting
C00463,T01,12c,Public case study,0.79,Technology Directory
C00464,T03,HANA 2.0,Job posting,0.7,Industry Directory
C00465,T01,2019,Technical page,0.69,Company Website
C00466,T03,2022,Public case study,0.6,Public Case Study
C00467,T02,2022,Technical page,0.74,Public Case Study
C00468,T01,2022,Technology directory,0.72,Industry Directory
C00469,T03,HANA 2.0,Public case study,0.61,Public Case Study
C00470,T01,12c,Job posting,0.84,Company Website
C00471,T02,15,Public case study,0.84,Technology Directory
C00472,T03,HANA 2.0,Job posting,0.63,Industry Directory
C00473,T01,12c,Technical page,0.72,Industry Directory
C00474,T06,19c,Technical page,0.94,Public Case Study
C00475,T03,2019,Technology directory,0.83,Industry Directory
C00476,T05,15,Technology directory,0.76,Public Case Study
C00477,T03,HANA 2.0,Technical page,0.78,Company Website
C00478,T04,16,Public case study,0.68,Industry Directory
C00479,T04,16,Public case study,0.92,Company Website
C00480,T05,8.x,Public case study,0.96,Job Posting
C00481,T03,2022,Public case study,0.96,Job Posting
C00482,T01,12c,Technology directory,0.69,Public Case Study
C00483,T01,2019,Technology directory,0.72,Company Website
C00484,T03,12c,Technology directory,0.66,Public Case Study
C00485,T01,11g,Job posting,0.72,Industry Directory
C00486,T01,16,Technical page,0.73,Public Case Study
C00487,T01,16,Technical page,0.85,Job Posting
C00488,T03,2019,Public case study,0.67,Industry Directory
C00489,T01,11g,Public case study,0.96,Job Posting
C00490,T03,11g,Public case study,0.64,Public Case Study
C00491,T04,12c,Technical page,0.6,Technology Directory
C00492,T05,15,Technical page,0.93,Company Website
C00493,T02,12c,Technical page,0.87,Company Website
C00494,T03,19c,Technology directory,0.74,Company Website
C00495,T03,16,Technical page,0.83,Industry Directory
C00496,T02,16,Job posting,0.69,Industry Directory
C00497,T03,15,Technology directory,0.67,Technology Directory
C00498,T01,19c,Job posting,0.78,Industry Directory
C00499,T06,2022,Public case study,0.74,Company Website
C00500,T01,12c,Technology directory,0.84,Industry Directory
C00501,T05,16,Technical page,0.69,Job Posting
C00502,T03,11g,Technical page,0.86,Company Website
C00503,T01,15,Technical page,0.9,Public Case Study
C00504,T04,2019,Job posting,0.66,Job Posting
C00505,T01,15,Job posting,0.62,Job Posting
C00506,T04,2019,Job posting,0.77,Public Case Study
C00507,T03,12c,Technical page,0.9,Job Posting
C00508,T01,15,Public case study,0.85,Public Case Study
C00509,T01,2022,Job posting,0.87,Company Website
C00510,T04,2019,Technology directory,0.76,Company Website
C00511,T01,8.x,Public case study,0.69,Job Posting
C00512,T05,8.x,Job posting,0.81,Public Case Study
C00513,T04,2019,Technology directory,0.68,Job Posting
C00514,T04,19c,Job posting,0.88,Company Website
C00515,T01,19c,Public case study,0.68,Public Case Study
C00516,T04,19c,Technical page,0.71,Technology Directory
C00517,T06,11g,Public case study,0.8,Technology Directory
C00518,T01,HANA 2.0,Technology directory,0.79,Job Posting
C00519,T02,19c,Technology directory,0.83,Company Website
C00520,T01,12c,Technical page,0.77,Company Website
C00521,T02,12c,Public case study,0.96,Public Case Study
C00522,T04,HANA 2.0,Technology directory,0.93,Company Website
C00523,T02,2019,Public case study,0.94,Job Posting
C00524,T03,19c,Technology directory,0.85,Industry Directory
C00525,T02,8.x,Technical page,0.85,Job Posting
C00526,T01,11g,Technical page,0.84,Public Case Study
C00527,T01,19c,Public case study,0.77,Job Posting
C00528,T05,19c,Technology directory,0.73,Industry Directory
C00529,T03,16,Technology directory,0.83,Industry Directory
C00530,T02,11g,Public case study,0.61,Technology Directory
C00531,T04,8.x,Public case study,0.6,Public Case Study
C00532,T01,16,Public case study,0.93,Technology Directory
C00533,T01,16,Technical page,0.62,Industry Directory
C00534,T01,2019,Technical page,0.8,Job Posting
C00535,T06,19c,Technical page,0.84,Industry Directory
