company_id,company_name,website,country,industry,company_size,employee_count,revenue_range
C00059,H Group 0059,https://example-company-0059.com,India,Healthcare,Large,4145,$250M-$1B
C00060,I Technologies 0060,https://example-company-0060.com,Singapore,Retail,Large,11890,> $1B
C00061,J Solutions 0061,https://example-company-0061.com,Saudi Arabia,Logistics,Enterprise,2941,$250M-$1B
C00062,K Industries 0062,https://example-company-0062.com,India,Telecom,Large,485,$50M-$250M
C00063,L Systems 0063,https://example-company-0063.com,Germany,Insurance,Medium,12666,> $1B
C00064,M Group 0064,https://example-company-0064.com,Saudi Arabia,Telecom,Large,10326,> $1B
C00065,N Technologies 0065,https://example-company-0065.com,Canada,Logistics,Medium,15142,> $1B
C00066,O Solutions 0066,https://example-company-0066.com,Germany,Healthcare,Enterprise,6929,> $1B
C00067,P Industries 0067,https://example-company-0067.com,Saudi Arabia,Education,Medium,17092,> $1B
C00068,Q Systems 0068,https://example-company-0068.com,Germany,Telecom,Large,8454,> $1B
C00069,R Group 0069,https://example-company-0069.com,USA,Retail,Small,14773,> $1B
C00070,S Technologies 0070,https://example-company-0070.com,Canada,Banking,Medium,2050,$250M-$1B
C00071,T Solutions 0071,https://example-company-0071.com,India,Telecom,Enterprise,1988,$250M-$1B
C00072,U Industries 0072,https://example-company-0072.com,UK,Insurance,Large,15667,> $1B
C00073,V Systems 0073,https://example-company-0073.com,Canada,Logistics,Medium,16688,> $1B
C00074,W Group 0074,https://example-company-0074.com,UK,Manufacturing,Enterprise,18850,> $1B
C00075,X Technologies 0075,https://example-company-0075.com,Singapore,Healthcare,Enterprise,6526,> $1B
C00076,Y Solutions 0076,https://example-company-0076.com,Canada,Insurance,Medium,494,$50M-$250M
C00077,Z Industries 0077,https://example-company-0077.com,Germany,Telecom,Large,19599,> $1B
C00078,A Systems 0078,https://example-company-0078.com,UAE,Insurance,Medium,12047,> $1B
C00079,B Group 0079,https://example-company-0079.com,Australia,Healthcare,Large,4980,$250M-$1B
C00080,C Technologies 0080,https://example-company-0080.com,Singapore,Logistics,Medium,15288,> $1B
C00081,D Solutions 0081,https://example-company-0081.com,Saudi Arabia,Education,Medium,18082,> $1B
C00082,E Industries 0082,https://example-company-0082.com,Canada,Education,Enterprise,5731,> $1B
C00083,F Systems 0083,https://example-company-0083.com,UK,Education,Enterprise,15404,> $1B
C00084,G Group 0084,https://example-company-0084.com,Netherlands,Manufacturing,Large,15761,> $1B
C00085,H Technologies 0085,https://example-company-0085.com,Singapore,Insurance,Enterprise,10058,> $1B
C00086,I Solutions 0086,https://example-company-0086.com,India,Logistics,Large,12665,> $1B
C00087,J Industries 0087,https://example-company-0087.com,USA,Logistics,Large,5426,> $1B
C00088,K Systems 0088,https://example-company-0088.com,Germany,Education,Large,18586,> $1B
C00089,L Group 0089,https://example-company-0089.com,India,Telecom,Medium,19662,> $1B
C00090,M Technologies 0090,https://example-company-0090.com,Netherlands,Insurance,Medium,19621,> $1B
C00091,N Solutions 0091,https://example-company-0091.com,Canada,Manufacturing,Medium,14755,> $1B
C00092,O Industries 0092,https://example-company-0092.com,Netherlands,Healthcare,Large,894,$50M-$250M
C00093,P Systems 0093,https://example-company-0093.com,Netherlands,Logistics,Medium,7360,> $1B
C00094,Q Group 0094,https://example-company-0094.com,Germany,Healthcare,Medium,8926,> $1B
C00095,R Technologies 0095,https://example-company-0095.com,Netherlands,Retail,Large,19198,> $1B
C00096,S Solutions 0096,https://example-company-0096.com,UAE,Banking,Medium,10962,> $1B
C00097,T Industries 0097,https://example-company-0097.com,UAE,Logistics,Medium,10746,> $1B
C00098,U Systems 0098,https://example-company-0098.com,Singapore,Logistics,Large,2977,$250M-$1B
C00099,V Group 0099,https://example-company-0099.com,Singapore,Banking,Enterprise,15884,> $1B
C00100,W Technologies 0100,https://example-company-0100.com,UK,Healthcare,Medium,6758,> $1B
C00101,X Solutions 0101,https://example-company-0101.com,Netherlands,Healthcare,Small,1882,$250M-$1B
C00102,Y Industries 0102,https://example-company-0102.com,UK,Healthcare,Medium,19753,> $1B
C00103,Z Systems 0103,https://example-company-0103.com,Netherlands,Education,Large,3841,$250M-$1B
C00104,A Group 0104,https://example-company-0104.com,USA,Insurance,Large,373,$50M-$250M
C00105,B Technologies 0105,https://example-company-0105.com,India,Retail,Small,1602,$250M-$1B
C00106,C Solutions 0106,https://example-company-0106.com,India,Insurance,Large,9077,> $1B
C00107,D Industries 0107,https://example-company-0107.com,India,Insurance,Small,2102,$250M-$1B
C00108,E Systems 0108,https://example-company-0108.com,Singapore,Education,Medium,16860,> $1B
C00109,F Group 0109,https://example-company-0109.com,Canada,Education,Enterprise,10273,> $1B
C00110,G Technologies 0110,https://example-company-0110.com,India,Banking,Medium,6511,> $1B
C00111,H Solutions 0111,https://example-company-0111.com,UAE,Telecom,Medium,112,< $50M
C00112,I Industries 0112,https://example-company-0112.com,India,Insurance,Medium,9621,> $1B
C00113,J Systems 0113,https://example-company-0113.com,Australia,Insurance,Large,3068,$250M-$1B
C00114,K Group 0114,https://example-company-0114.com,Canada,Retail,Enterprise,19562,> $1B
C00115,L Technologies 0115,https://example-company-0115.com,Australia,Insurance,Enterprise,5857,> $1B
C00116,M Solutions 0116,https://example-company-0116.com,Australia,Healthcare,Small,9523,> $1B
C00117,N Industries 0117,https://example-company-0117.com,USA,Education,Small,421,$50M-$250M
C00118,O Systems 0118,https://example-company-0118.com,UK,Manufacturing,Large,2661,$250M-$1B
C00119,P Group 0119,https://example-company-0119.com,UAE,Telecom,Medium,4189,$250M-$1B
C00120,Q Technologies 0120,https://example-company-0120.com,UK,Healthcare,Enterprise,1081,$250M-$1B
C00121,R Solutions 0121,https://example-company-0121.com,Canada,Banking,Large,14533,> $1B
C00122,S Industries 0122,https://example-company-0122.com,Singapore,Banking,Small,18911,> $1B
C00123,T Systems 0123,https://example-company-0123.com,Singapore,Retail,Large,19707,> $1B
C00124,U Group 0124,https://example-company-0124.com,Canada,Insurance,Medium,5352,> $1B
C00125,V Technologies 0125,https://example-company-0125.com,Netherlands,Logistics,Medium,15785,> $1B
C00126,W Solutions 0126,https://example-company-0126.com,Australia,Logistics,Large,10106,> $1B
C00127,X Industries 0127,https://example-company-0127.com,USA,Logistics,Large,964,$50M-$250M
C00128,Y Systems 0128,https://example-company-0128.com,India,Telecom,Large,1859,$250M-$1B
C00129,Z Group 0129,https://example-company-0129.com,Australia,Manufacturing,Large,10978,> $1B
C00130,A Technologies 0130,https://example-company-0130.com,Singapore,Telecom,Enterprise,8501,> $1B
C00131,B Solutions 0131,https://example-company-0131.com,Australia,Healthcare,Enterprise,217,< $50M
C00132,C Industries 0132,https://example-company-0132.com,Australia,Telecom,Large,18605,> $1B
C00133,D Systems 0133,https://example-company-0133.com,USA,Logistics,Small,14620,> $1B
C00134,E Group 0134,https://example-company-0134.com,Australia,Logistics,Large,10073,> $1B
C00135,F Technologies 0135,https://example-company-0135.com,India,Manufacturing,Enterprise,19740,> $1B
C00136,G Solutions 0136,https://example-company-0136.com,Germany,Banking,Medium,19424,> $1B
C00137,H Industries 0137,https://example-company-0137.com,Singapore,Telecom,Medium,19480,> $1B
C00138,I Systems 0138,https://example-company-0138.com,USA,Retail,Medium,5213,> $1B
C00139,J Group 0139,https://example-company-0139.com,Germany,Telecom,Small,17623,> $1B
C00140,K Technologies 0140,https://example-company-0140.com,Canada,Manufacturing,Large,10115,> $1B
C00141,L Solutions 0141,https://example-company-0141.com,Saudi Arabia,Education,Medium,14534,> $1B
C00142,M Industries 0142,https://example-company-0142.com,UAE,Retail,Large,17197,> $1B
C00143,N Systems 0143,https://example-company-0143.com,UAE,Education,Large,3308,$250M-$1B
C00144,O Group 0144,https://example-company-0144.com,Canada,Logistics,Large,8992,> $1B
C00145,P Technologies 0145,https://example-company-0145.com,Saudi Arabia,Retail,Medium,2621,$250M-$1B
C00146,Q Solutions 0146,https://example-company-0146.com,Netherlands,Healthcare,Medium,5625,> $1B
C00147,R Industries 0147,https://example-company-0147.com,USA,Manufacturing,Large,8299,> $1B
C00148,S Systems 0148,https://example-company-0148.com,UAE,Logistics,Large,17116,> $1B
C00149,T Group 0149,https://example-company-0149.com,Netherlands,Telecom,Medium,17260,> $1B
C00150,U Technologies 0150,https://example-company-0150.com,USA,Logistics,Enterprise,7828,> $1B
C00151,V Solutions 0151,https://example-company-0151.com,Netherlands,Retail,Small,6617,> $1B
C00152,W Industries 0152,https://example-company-0152.com,UAE,Manufacturing,Enterprise,10637,> $1B
C00153,X Systems 0153,https://example-company-0153.com,Saudi Arabia,Healthcare,Small,18241,> $1B
C00154,Y Group 0154,https://example-company-0154.com,UAE,Education,Medium,19531,> $1B
C00155,Z Technologies 0155,https://example-company-0155.com,Canada,Retail,Large,4573,$250M-$1B
C00156,A Solutions 0156,https://example-company-0156.com,Singapore,Manufacturing,Small,3770,$250M-$1B
C00157,B Industries 0157,https://example-company-0157.com,UK,Banking,Small,14150,> $1B
C00158,C Systems 0158,https://example-company-0158.com,Australia,Logistics,Small,6062,> $1B
C00159,D Group 0159,https://example-company-0159.com,Australia,Healthcare,Medium,4035,$250M-$1B
C00160,E Technologies 0160,https://example-company-0160.com,India,Retail,Large,669,$50M-$250M
C00161,F Solutions 0161,https://example-company-0161.com,Saudi Arabia,Manufacturing,Small,8094,> $1B
C00162,G Industries 0162,https://example-company-0162.com,Singapore,Healthcare,Large,7867,> $1B
C00163,H Systems 0163,https://example-company-0163.com,Canada,Logistics,Large,11283,> $1B
C00164,I Group 0164,https://example-company-0164.com,Canada,Manufacturing,Medium,4043,$250M-$1B
C00165,J Technologies 0165,https://example-company-0165.com,Canada,Manufacturing,Small,14301,> $1B
C00166,K Solutions 0166,https://example-company-0166.com,Netherlands,Banking,Enterprise,13616,> $1B
C00167,L Industries 0167,https://example-company-0167.com,Germany,Banking,Large,9273,> $1B
C00168,M Systems 0168,https://example-company-0168.com,UK,Healthcare,Large,3667,$250M-$1B
C00169,N Group 0169,https://example-company-0169.com,Germany,Education,Large,10163,> $1B
C00170,O Technologies 0170,https://example-company-0170.com,USA,Education,Small,13512,> $1B
C00171,P Solutions 0171,https://example-company-0171.com,UK,Telecom,Medium,7485,> $1B
C00172,Q Industries 0172,https://example-company-0172.com,USA,Telecom,Large,5306,> $1B
C00173,R Systems 0173,https://example-company-0173.com,India,Healthcare,Medium,10154,> $1B
C00174,S Group 0174,https://example-company-0174.com,India,Insurance,Large,7136,> $1B
C00175,T Technologies 0175,https://example-company-0175.com,Singapore,Banking,Large,8040,> $1B
C00176,U Solutions 0176,https://example-company-0176.com,Canada,Retail,Large,7009,> $1B
C00177,V Industries 0177,https://example-company-0177.com,India,Retail,Medium,6104,> $1B
C00178,W Systems 0178,https://example-company-0178.com,UK,Insurance,Medium,14349,> $1B
C00179,X Group 0179,https://example-company-0179.com,Saudi Arabia,Retail,Medium,9231,> $1B
C00180,Y Technologies 0180,https://example-company-0180.com,Australia,Banking,Medium,9356,> $1B
C00181,Z Solutions 0181,https://example-company-0181.com,Saudi Arabia,Manufacturing,Large,13079,> $1B
C00182,A Industries 0182,https://example-company-0182.com,UK,Education,Small,7257,> $1B
C00183,B Systems 0183,https://example-company-0183.com,Canada,Telecom,Small,2065,$250M-$1B
C00184,C Group 0184,https://example-company-0184.com,Singapore,Healthcare,Medium,17059,> $1B
C00185,D Technologies 0185,https://example-company-0185.com,Canada,Healthcare,Medium,1161,$250M-$1B
C00186,E Solutions 0186,https://example-company-0186.com,Canada,Retail,Large,11460,> $1B
C00187,F Industries 0187,https://example-company-0187.com,UK,Insurance,Medium,5353,> $1B
C00188,G Systems 0188,https://example-company-0188.com,Germany,Manufacturing,Enterprise,4315,$250M-$1B
C00189,H Group 0189,https://example-company-0189.com,UAE,Manufacturing,Small,887,$50M-$250M
C00190,I Technologies 0190,https://example-company-0190.com,Germany,Banking,Large,18006,> $1B
C00191,J Solutions 0191,https://example-company-0191.com,Singapore,Healthcare,Medium,8612,> $1B
C00192,K Industries 0192,https://example-company-0192.com,Singapore,Retail,Medium,6885,> $1B
C00193,L Systems 0193,https://example-company-0193.com,Singapore,Insurance,Enterprise,14837,> $1B
C00194,M Group 0194,https://example-company-0194.com,Germany,Telecom,Enterprise,827,$50M-$250M
C00195,N Technologies 0195,https://example-company-0195.com,Saudi Arabia,Manufacturing,Enterprise,11312,> $1B
C00196,O Solutions 0196,https://example-company-0196.com,USA,Telecom,Medium,9917,> $1B
C00197,P Industries 0197,https://example-company-0197.com,Germany,Telecom,Medium,11091,> $1B
C00198,Q Systems 0198,https://example-company-0198.com,UK,Education,Large,2522,$250M-$1B
C00199,R Group 0199,https://example-company-0199.com,Germany,Logistics,Medium,19053,> $1B
C00200,S Technologies 0200,https://example-company-0200.com,Saudi Arabia,Manufacturing,Large,4807,$250M-$1B
C00201,T Solutions 0201,https://example-company-0201.com,Germany,Education,Large,13585,> $1B
C00202,U Industries 0202,https://example-company-0202.com,Saudi Arabia,Healthcare,Large,14954,> $1B
C00203,V Systems 0203,https://example-company-0203.com,Canada,Education,Large,6912,> $1B
C00204,W Group 0204,https://example-company-0204.com,Singapore,Logistics,Large,2658,$250M-$1B
C00205,X Technologies 0205,https://example-company-0205.com,Canada,Telecom,Small,5968,> $1B
C00206,Y Solutions 0206,https://example-company-0206.com,UAE,Education,Small,16148,> $1B
C00207,Z Industries 0207,https://example-company-0207.com,India,Manufacturing,Large,18134,> $1B
C00208,A Systems 0208,https://example-company-0208.com,Saudi Arabia,Telecom,Medium,18741,> $1B
C00209,B Group 0209,https://example-company-0209.com,UAE,Retail,Medium,4564,$250M-$1B
C00210,C Technologies 0210,https://example-company-0210.com,India,Education,Medium,12150,> $1B
C00211,D Solutions 0211,https://example-company-0211.com,UAE,Manufacturing,Large,3063,$250M-$1B
C00212,E Industries 0212,https://example-company-0212.com,India,Logistics,Large,14221,> $1B
C00213,F Systems 0213,https://example-company-0213.com,India,Healthcare,Large,8346,> $1B
C00214,G Group 0214,https://example-company-0214.com,Canada,Logistics,Medium,14286,> $1B
C00215,H Technologies 0215,https://example-company-0215.com,India,Banking,Medium,13718,> $1B
C00216,I Solutions 0216,https://example-company-0216.com,UAE,Banking,Large,19856,> $1B
C00217,J Industries 0217,https://example-company-0217.com,USA,Manufacturing,Medium,9798,> $1B
C00218,K Systems 0218,https://example-company-0218.com,USA,Telecom,Large,6863,> $1B
C00219,L Group 0219,https://example-company-0219.com,Canada,Logistics,Large,10558,> $1B
C00220,M Technologies 0220,https://example-company-0220.com,Saudi Arabia,Healthcare,Small,3298,$250M-$1B
C00221,N Solutions 0221,https://example-company-0221.com,UK,Telecom,Small,2279,$250M-$1B
C00222,O Industries 0222,https://example-company-0222.com,Canada,Manufacturing,Medium,10407,> $1B
C00223,P Systems 0223,https://example-company-0223.com,India,Education,Enterprise,16516,> $1B
C00224,Q Group 0224,https://example-company-0224.com,UAE,Telecom,Large,10688,> $1B
C00225,R Technologies 0225,https://example-company-0225.com,India,Healthcare,Medium,15649,> $1B
C00226,S Solutions 0226,https://example-company-0226.com,Germany,Education,Enterprise,3599,$250M-$1B
C00227,T Industries 0227,https://example-company-0227.com,Netherlands,Banking,Medium,9015,> $1B
C00228,U Systems 0228,https://example-company-0228.com,Australia,Education,Medium,12281,> $1B
C00229,V Group 0229,https://example-company-0229.com,Australia,Insurance,Enterprise,6986,> $1B
C00230,W Technologies 0230,https://example-company-0230.com,UK,Retail,Small,331,$50M-$250M
C00231,X Solutions 0231,https://example-company-0231.com,Canada,Logistics,Medium,1515,$250M-$1B
C00232,Y Industries 0232,https://example-company-0232.com,Netherlands,Telecom,Large,18556,> $1B
C00233,Z Systems 0233,https://example-company-0233.com,USA,Education,Medium,12122,> $1B
C00234,A Group 0234,https://example-company-0234.com,India,Telecom,Large,5328,> $1B
C00235,B Technologies 0235,https://example-company-0235.com,Canada,Telecom,Medium,5213,> $1B
C00236,C Solutions 0236,https://example-company-0236.com,India,Retail,Small,839,$50M-$250M
C00237,D Industries 0237,https://example-company-0237.com,Singapore,Banking,Medium,18898,> $1B
C00238,E Systems 0238,https://example-company-0238.com,Canada,Banking,Medium,2209,$250M-$1B
C00239,F Group 0239,https://example-company-0239.com,Germany,Retail,Medium,15201,> $1B
C00240,G Technologies 0240,https://example-company-0240.com,Singapore,Banking,Small,4842,$250M-$1B
C00241,H Solutions 0241,https://example-company-0241.com,UK,Manufacturing,Enterprise,6745,> $1B
C00242,I Industries 0242,https://example-company-0242.com,Australia,Logistics,Medium,5514,> $1B
C00243,J Systems 0243,https://example-company-0243.com,USA,Education,Medium,16499,> $1B
C00244,K Group 0244,https://example-company-0244.com,Singapore,Healthcare,Small,704,$50M-$250M
C00245,L Technologies 0245,https://example-company-0245.com,Singapore,Education,Medium,7078,> $1B
C00246,M Solutions 0246,https://example-company-0246.com,USA,Education,Medium,5623,> $1B
C00247,N Industries 0247,https://example-company-0247.com,India,Logistics,Large,5495,> $1B
C00248,O Systems 0248,https://example-company-0248.com,Canada,Healthcare,Medium,3899,$250M-$1B
C00249,P Group 0249,https://example-company-0249.com,India,Retail,Enterprise,18253,> $1B
C00250,Q Technologies 0250,https://example-company-0250.com,USA,Education,Enterprise,7603,> $1B
C00251,R Solutions 0251,https://example-company-0251.com,UK,Insurance,Small,8393,> $1B
C00252,S Industries 0252,https://example-company-0252.com,Canada,Healthcare,Small,7734,> $1B
C00253,T Systems 0253,https://example-company-0253.com,UK,Banking,Small,19605,> $1B
C00254,U Group 0254,https://example-company-0254.com,Germany,Logistics,Large,6813,> $1B
C00255,V Technologies 0255,https://example-company-0255.com,Singapore,Telecom,Small,6866,> $1B
C00256,W Solutions 0256,https://example-company-0256.com,UK,Banking,Enterprise,6592,> $1B
C00257,X Industries 0257,https://example-company-0257.com,Singapore,Insurance,Large,6572,> $1B
C00258,Y Systems 0258,https://example-company-0258.com,UK,Manufacturing,Large,1840,$250M-$1B
C00259,Z Group 0259,https://example-company-0259.com,UK,Manufacturing,Large,12105,> $1B
C00260,A Technologies 0260,https://example-company-0260.com,Australia,Logistics,Enterprise,552,$50M-$250M
C00261,B Solutions 0261,https://example-company-0261.com,India,Retail,Small,4557,$250M-$1B
C00262,C Industries 0262,https://example-company-0262.com,UK,Education,Medium,4082,$250M-$1B
C00263,D Systems 0263,https://example-company-0263.com,UAE,Healthcare,Medium,5865,> $1B
C00264,E Group 0264,https://example-company-0264.com,Saudi Arabia,Logistics,Enterprise,15145,> $1B
C00265,F Technologies 0265,https://example-company-0265.com,Saudi Arabia,Insurance,Large,12009,> $1B
C00266,G Solutions 0266,https://example-company-0266.com,Australia,Banking,Large,19816,> $1B
C00267,H Industries 0267,https://example-company-0267.com,Canada,Banking,Medium,7056,> $1B
C00268,I Systems 0268,https://example-company-0268.com,Germany,Retail,Enterprise,18574,> $1B
C00269,J Group 0269,https://example-company-0269.com,Singapore,Education,Medium,946,$50M-$250M
C00270,K Technologies 0270,https://example-company-0270.com,Australia,Banking,Medium,10109,> $1B
C00271,L Solutions 0271,https://example-company-0271.com,UAE,Retail,Enterprise,15987,> $1B
C00272,M Industries 0272,https://example-company-0272.com,USA,Banking,Medium,10659,> $1B
C00273,N Systems 0273,https://example-company-0273.com,UK,Education,Medium,18669,> $1B
C00274,O Group 0274,https://example-company-0274.com,Saudi Arabia,Telecom,Large,6325,> $1B
C00275,P Technologies 0275,https://example-company-0275.com,Canada,Logistics,Small,714,$50M-$250M
C00276,Q Solutions 0276,https://example-company-0276.com,Canada,Telecom,Medium,15490,> $1B
C00277,R Industries 0277,https://example-company-0277.com,Canada,Telecom,Medium,1406,$250M-$1B
C00278,S Systems 0278,https://example-company-0278.com,India,Logistics,Small,15306,> $1B
C00279,T Group 0279,https://example-company-0279.com,USA,Banking,Enterprise,14681,> $1B
C00280,U Technologies 0280,https://example-company-0280.com,USA,Logistics,Large,16893,> $1B
C00281,V Solutions 0281,https://example-company-0281.com,UAE,Telecom,Medium,9604,> $1B
C00282,W Industries 0282,https://example-company-0282.com,Canada,Telecom,Medium,17915,> $1B
C00283,X Systems 0283,https://example-company-0283.com,Singapore,Healthcare,Medium,3438,$250M-$1B
C00284,Y Group 0284,https://example-company-0284.com,Canada,Logistics,Large,8715,> $1B
C00285,Z Technologies 0285,https://example-company-0285.com,Canada,Healthcare,Enterprise,2480,$250M-$1B
C00286,A Solutions 0286,https://example-company-0286.com,Saudi Arabia,Banking,Enterprise,15349,> $1B
C00287,B Industries 0287,https://example-company-0287.com,UK,Education,Medium,14299,> $1B
C00288,C Systems 0288,https://example-company-0288.com,Australia,Insurance,Medium,16137,> $1B
C00289,D Group 0289,https://example-company-0289.com,Australia,Banking,Medium,15298,> $1B
C00290,E Technologies 0290,https://example-company-0290.com,Canada,Manufacturing,Large,6203,> $1B
C00291,F Solutions 0291,https://example-company-0291.com,Netherlands,Insurance,Medium,1407,$250M-$1B
C00292,G Industries 0292,https://example-company-0292.com,UAE,Logistics,Large,18588,> $1B
C00293,H Systems 0293,https://example-company-0293.com,Saudi Arabia,Healthcare,Large,9881,> $1B
C00294,I Group 0294,https://example-company-0294.com,Germany,Banking,Medium,1932,$250M-$1B
C00295,J Technologies 0295,https://example-company-0295.com,Australia,Education,Medium,18544,> $1B
C00296,K Solutions 0296,https://example-company-0296.com,Australia,Manufacturing,Medium,19885,> $1B
C00297,L Industries 0297,https://example-company-0297.com,Netherlands,Retail,Small,8937,> $1B
C00298,M Systems 0298,https://example-company-0298.com,Canada,Telecom,Medium,15413,> $1B
C00299,N Group 0299,https://example-company-0299.com,UAE,Manufacturing,Large,774,$50M-$250M
C00300,O Technologies 0300,https://example-company-0300.com,USA,Banking,Medium,1910,$250M-$1B
C00301,P Solutions 0301,https://example-company-0301.com,Germany,Logistics,Medium,5567,> $1B
C00302,Q Industries 0302,https://example-company-0302.com,Netherlands,Healthcare,Large,13141,> $1B
C00303,R Systems 0303,https://example-company-0303.com,USA,Telecom,Large,2711,$250M-$1B
C00304,S Group 0304,https://example-company-0304.com,Netherlands,Education,Medium,731,$50M-$250M
C00305,T Technologies 0305,https://example-company-0305.com,Australia,Manufacturing,Large,13391,> $1B
C00306,U Solutions 0306,https://example-company-0306.com,UK,Telecom,Enterprise,15415,> $1B
C00307,V Industries 0307,https://example-company-0307.com,Germany,Retail,Large,14797,> $1B
C00308,W Systems 0308,https://example-company-0308.com,Australia,Insurance,Large,15994,> $1B
C00309,X Group 0309,https://example-company-0309.com,Germany,Healthcare,Small,16066,> $1B
C00310,Y Technologies 0310,https://example-company-0310.com,UK,Logistics,Enterprise,12068,> $1B
